pair_type,true_kw,pred_kw,prob_true_kw
genuine,3,10,0.16284380853176117
genuine,0,10,0.4009135961532593
genuine,6,10,0.32349953055381775
genuine,1,10,0.14676697552204132
genuine,0,10,0.27766063809394836
genuine,9,10,0.33359798789024353
genuine,3,10,0.19878332316875458
genuine,5,10,0.4860353469848633
genuine,6,10,0.24344173073768616
genuine,4,10,0.16771450638771057
genuine,7,10,0.34236884117126465
genuine,5,10,0.3487829566001892
genuine,6,10,0.20061634480953217
genuine,4,10,0.32507506012916565
genuine,9,10,0.4042315185070038
genuine,5,10,0.26039919257164
genuine,0,10,0.37052690982818604
genuine,2,10,0.10166185349225998
genuine,3,10,0.14143575727939606
genuine,1,10,0.22635243833065033
genuine,2,10,0.4674077033996582
genuine,0,10,0.4551101326942444
genuine,5,10,0.4078604280948639
genuine,9,10,0.31618955731391907
genuine,7,10,0.2193962186574936
genuine,6,10,0.11543095111846924
genuine,5,10,0.28000307083129883
genuine,2,10,0.3197929561138153
genuine,4,10,0.1220536008477211
genuine,4,10,0.06872459501028061
genuine,0,10,0.34846651554107666
genuine,9,10,0.19924767315387726
genuine,7,10,0.3617168366909027
genuine,2,10,0.3343709409236908
genuine,4,10,0.2931625247001648
genuine,1,10,0.46790140867233276
genuine,2,10,0.33134162425994873
genuine,0,10,0.4129190742969513
genuine,5,10,0.491863489151001
genuine,6,10,0.20141418278217316
genuine,3,10,0.026624659076333046
genuine,8,10,0.15575011074543
genuine,8,10,0.32193633913993835
genuine,2,10,0.26017695665359497
genuine,4,10,0.309592604637146
genuine,8,10,0.32193633913993835
genuine,9,9,0.5130884051322937
genuine,4,10,0.3157418370246887
genuine,0,10,0.25650545954704285
genuine,3,10,0.06458350270986557
genuine,9,10,0.3942970335483551
genuine,4,10,0.36526596546173096
genuine,6,10,0.320699542760849
genuine,2,10,0.26213791966438293
genuine,3,10,0.3952743411064148
genuine,6,10,0.2693077325820923
genuine,2,10,0.10588488727807999
genuine,1,10,0.2916528880596161
genuine,5,10,0.17392151057720184
genuine,2,10,0.20066694915294647
